smiles,right_block,photo_block,catalytic_block,inhibitor_block
[H]C1=NC([N+](=O)[O-])=C(N=NC2=C([H])ON=C2C2(C([H])([H])[H])C([H])([H])C([H])(N([H])C(=S)N([H])C3=C([H])C([H])=C([H])C([H])=C3[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])N([H])C(=S)N([H])C3=C([H])C([H])=C([H])C([H])=C3[H])C2([H])[H])C([H])=C1[H],c1ccc([*:2])cc1,[H]c1nc(Br)c(/N=N\c2c(Br)noc2[H])c([H])c1[H],CC1([*:1])C[C@@H](NC(=S)N[*:2])C[C@@](C)(CNC(=S)Nc2ccccc2)C1,O=[N+]([O-])[*:2]
[H]C(=NC1=NC([H])=C([H])C([H])=C1N([N+](=O)[O-])C([H])([H])[H])C1=C([H])C([H])=C([H])C(N=NC2=C([H])C([H])=C([H])C(N([H])C(=O)C3=C([H])C(N([H])C(=O)N([H])C4=C([H])C([H])=C(OC([H])([H])[H])C(C(=O)N([H])C([H])([H])C([H])([H])[H])=C4[H])=C([H])C([H])=C3OC([H])([H])[H])=C2[H])=C1[H],CO[*:2],[H]/C(=N\c1nc([H])c([H])c([H])c1Br)c1c([H])c([H])c([H])c(/N=N\c2c([H])c([H])c([H])c(Br)c2[H])c1[H],CCNC(=O)c1cc(NC(=O)Nc2ccc(OC)c(C(=O)N[*:1])c2)ccc1[*:2],CN([N+](=O)[O-])[*:2]
[H]C(=NC1=C([H])C([H])=C([H])C([H])=C1N1C([H])=NC([H])=C1N=NC1=C([H])C([H])=C(N([H])C(=O)N([H])C2=C3N=C([H])N([H])C3=C([H])C([H])=C2[H])C([H])=C1[H])C1=C([H])C([H])=C([N+](=O)[O-])C([H])=C1[H],c1cc([*:2])c2nc[nH]c2c1,[H]c1nc([H])n(Br)c1/N=N\c1c([H])c([H])c(Br)c([H])c1[H],O=C(N[*:1])N[*:2],O=[N+]([O-])c1ccc(C=Nc2ccccc2[*:2])cc1
[H]C1=NC([N+](=O)[O-])=C([H])C([H])=C1N=NC1=C([H])C([H])=C(C2=C([H])C([H])=C([H])C([H])=C2N([H])C(=S)N([H])C(=O)OOC([H])([H])[H])C([H])=C1[H],CO[*:2],[H]c1nc(Br)c([H])c([H])c1/N=N\c1c([H])c([H])c(Br)c([H])c1[H],O=C(NC(=S)Nc1ccccc1[*:2])O[*:1],O=[N+]([O-])[*:2]
[H]C1=NC(C2=C([H])N([H])N=C2N=NC2=C([H])C([H])=C([H])C([H])=C2C([H])([H])SC([H])([H])C([H])([H])N([H])C(=O)N([H])C2=C([H])C([H])=C(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])O2)=C([H])C([H])=C1[N+](=O)[O-],CN(C)Cc1ccc([*:2])o1,[H]c1c([H])c([H])c(/N=N\c2nn([H])c([H])c2Br)c(Br)c1[H],O=C(NCCSC[*:2])N[*:1],O=[N+]([O-])c1ccc([*:2])nc1
[H]C(=NC1=NC([H])=C([H])C([H])=C1[H])C1=C([H])C(C2=C(C3=C([H])C([H])=C([H])C([N+](=O)[O-])=C3[H])C(C(=O)OC([H])([H])C([H])([H])[H])=C(N([H])[H])S2)=C([H])C(N=NC2=C([H])C([H])=C([H])C(C([H])(C3=C(N([H])C(=S)N([H])C(=O)C4=C([H])C([H])=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C4[H])C(C([H])(C([H])([H])[H])C([H])([H])[H])=C([H])C([H])=C3[H])C([H])([H])[H])=C2[H])=C1[H],CC(C)(C)[*:2],[H]/C(=N\c1nc([H])c([H])c([H])c1[H])c1c([H])c(Br)c([H])c(/N=N\c2c([H])c([H])c([H])c(Br)c2[H])c1[H],CC(C)c1cccc(C(C)[*:1])c1NC(=S)NC(=O)c1ccc([*:2])cc1,CCOC(=O)c1c(N)sc([*:2])c1-c1cccc([N+](=O)[O-])c1
[H]C(=NC1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(C2=C([H])C([H])=C([N+](=O)[O-])C([H])=[N+]2[O-])C(N=NC2=C([H])C([H])=C(C3=C([H])C(N([H])C(=O)N([H])C4=C([H])C(I)=C([H])C([H])=C4[H])=C([H])C([H])=C3[H])C([H])=C2[H])=C1[H],Ic1cccc([*:2])c1,[H]/C(=N\c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c(Br)c(/N=N\c2c([H])c([H])c(Br)c([H])c2[H])c1[H],O=C(Nc1cccc([*:1])c1)N[*:2],O=[N+]([O-])c1ccc([*:2])[n+]([O-])c1
[H]C1=C([H])C([H])=C(C(=O)N([H])C(=S)N([H])C2=NC(C([H])([H])[H])=C([H])C(C3=C([H])C([H])=C4C(=N3)C([H])=C([H])C([H])=C4N=NC3=C([H])C([H])=C([H])C(C([H])([H])N([N+](=O)[O-])C([H])([H])[H])=C3[H])=N2)S1,c1csc([*:2])c1,[H]c1c([H])c(Br)c([H])c(/N=N\c2c([H])c([H])c([H])c3nc(Br)c([H])c([H])c23)c1[H],Cc1cc([*:1])nc(NC(=S)NC(=O)[*:2])n1,CN(C[*:2])[N+](=O)[O-]
[H]OC1=C([H])C([H])=C([N+](=O)[O-])C([H])=C1C#CC1=C2N=C([H])C([H])=C([H])C2=C(N=NC2=C([H])C([H])=C(OC3=C([H])C([H])=C([H])C(C([H])(C([H])(C(=O)OC([H])([H])[H])N([H])S(=O)(=O)N([H])C([H])(C(=O)OC([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])=C3[H])C([H])=C2[H])C([H])=C1[H],C[*:2],[H]c1nc2c(Br)c([H])c([H])c(/N=N\c3c([H])c([H])c(Oc4c([H])c([H])c([H])c(Br)c4[H])c([H])c3[H])c2c([H])c1[H],CC[C@H]([C@H](NS(=O)(=O)N[C@H](C(=O)OC)[C@H](CC)[*:2])C(=O)OC)[*:1],O=[N+]([O-])c1ccc(O)c(C#C[*:2])c1
[H]C1=C([N+](=O)[O-])SC(C2=C([H])C([H])=C3SC(N=NC4=NC5=C([H])C(N([H])C(=S)N([H])C6=C([H])C([H])=C([H])C([H])=C6Br)=C([H])C([H])=C5S4)=NC3=C2[H])=N1,Brc1ccccc1[*:2],[H]c1c(Br)c([H])c2nc(/N=N\c3nc4c([H])c(Br)c([H])c([H])c4s3)sc2c1[H],S=C(N[*:1])N[*:2],O=[N+]([O-])c1cnc([*:2])s1
